RecordType,StartTime,Demand
VD,2017-01-02T11:40:00Z,35339
VD,2017-01-02T11:45:00Z,35319
VD,2017-01-02T11:50:00Z,35298
VD,2017-01-02T11:55:00Z,35289
VD,2017-01-02T12:00:00Z,35447
VD,2017-01-02T12:05:00Z,35543
VD,2017-01-02T12:10:00Z,35506
VD,2017-01-02T12:15:00Z,35508
VD,2017-01-02T12:20:00Z,35585
VD,2017-01-02T12:25:00Z,35531
VD,2017-01-02T12:30:00Z,35556
VD,2017-01-02T12:35:00Z,35635
VD,2017-01-02T12:40:00Z,35561
VD,2017-01-02T12:45:00Z,35525
VD,2017-01-02T12:50:00Z,35536
VD,2017-01-02T12:55:00Z,35580
VD,2017-01-02T13:00:00Z,35609
VD,2017-01-02T13:05:00Z,35622
VD,2017-01-02T13:10:00Z,35590
VD,2017-01-02T13:15:00Z,35628
VD,2017-01-02T13:20:00Z,35611
VD,2017-01-02T13:25:00Z,35625
VD,2017-01-02T13:30:00Z,35740
VD,2017-01-02T13:35:00Z,35715
VD,2017-01-02T13:40:00Z,35774
VD,2017-01-02T13:45:00Z,35843
VD,2017-01-02T13:50:00Z,35893
VD,2017-01-02T13:55:00Z,35923
VD,2017-01-02T14:00:00Z,36071
VD,2017-01-02T14:05:00Z,36125
VD,2017-01-02T14:10:00Z,36183
VD,2017-01-02T14:15:00Z,36297
VD,2017-01-02T14:20:00Z,36391
VD,2017-01-02T14:25:00Z,36508
VD,2017-01-02T14:30:00Z,36693
VD,2017-01-02T14:35:00Z,36780
VD,2017-01-02T14:40:00Z,36934
VD,2017-01-02T14:45:00Z,37084
VD,2017-01-02T14:50:00Z,37263
VD,2017-01-02T14:55:00Z,37374
VD,2017-01-02T15:00:00Z,37425
VD,2017-01-02T15:05:00Z,37622
VD,2017-01-02T15:10:00Z,37873
VD,2017-01-02T15:15:00Z,38098
VD,2017-01-02T15:20:00Z,38311
VD,2017-01-02T15:25:00Z,38516
VD,2017-01-02T15:30:00Z,38844
VD,2017-01-02T15:35:00Z,39121
VD,2017-01-02T15:40:00Z,39324
VD,2017-01-02T15:45:00Z,39613
VD,2017-01-02T15:50:00Z,39865
VD,2017-01-02T15:55:00Z,39770
VD,2017-01-02T16:00:00Z,39909
VD,2017-01-02T16:05:00Z,40280
VD,2017-01-02T16:10:00Z,40650
VD,2017-01-02T16:15:00Z,41143
VD,2017-01-02T16:20:00Z,41722
VD,2017-01-02T16:25:00Z,42340
VD,2017-01-02T16:30:00Z,43102
VD,2017-01-02T16:35:00Z,43689
VD,2017-01-02T16:40:00Z,44285
VD,2017-01-02T16:45:00Z,44605
VD,2017-01-02T16:50:00Z,44806
VD,2017-01-02T16:55:00Z,45095
VD,2017-01-02T17:00:00Z,45521
VD,2017-01-02T17:05:00Z,45604
VD,2017-01-02T17:10:00Z,45736
VD,2017-01-02T17:15:00Z,45917
VD,2017-01-02T17:20:00Z,46129
VD,2017-01-02T17:25:00Z,46203
